instance,tree_file,inference_time_seconds
G_l_256_n_20_0_0.01_10.phy,G_l_256_n_20_0_0.01_10.tre,51.942748
G_l_256_n_20_0_0.01_103.phy,G_l_256_n_20_0_0.01_103.tre,48.477942
G_l_256_n_20_0_0.01_104.phy,G_l_256_n_20_0_0.01_104.tre,46.952554
G_l_256_n_20_0_0.01_117.phy,G_l_256_n_20_0_0.01_117.tre,53.358839
G_l_256_n_20_0_0.01_120.phy,G_l_256_n_20_0_0.01_120.tre,53.309251
G_l_256_n_20_0_0.01_13.phy,G_l_256_n_20_0_0.01_13.tre,54.500099
G_l_256_n_20_0_0.01_15.phy,G_l_256_n_20_0_0.01_15.tre,55.423894
G_l_256_n_20_0_0.01_16.phy,G_l_256_n_20_0_0.01_16.tre,52.663858
G_l_256_n_20_0_0.01_23.phy,G_l_256_n_20_0_0.01_23.tre,51.362117
G_l_256_n_20_0_0.01_37.phy,G_l_256_n_20_0_0.01_37.tre,51.835398
G_l_256_n_20_0_0.01_42.phy,G_l_256_n_20_0_0.01_42.tre,50.813112
G_l_256_n_20_0_0.01_50.phy,G_l_256_n_20_0_0.01_50.tre,51.492560
G_l_256_n_20_0_0.01_55.phy,G_l_256_n_20_0_0.01_55.tre,51.660802
G_l_256_n_20_0_0.01_62.phy,G_l_256_n_20_0_0.01_62.tre,51.736037
G_l_256_n_20_0_0.01_63.phy,G_l_256_n_20_0_0.01_63.tre,51.344088
G_l_256_n_20_0_0.01_68.phy,G_l_256_n_20_0_0.01_68.tre,50.839946
G_l_256_n_20_0_0.01_7.phy,G_l_256_n_20_0_0.01_7.tre,57.529293
G_l_256_n_20_0_0.01_73.phy,G_l_256_n_20_0_0.01_73.tre,55.101180
G_l_256_n_20_0_0.01_74.phy,G_l_256_n_20_0_0.01_74.tre,52.518985
G_l_256_n_20_0_0.01_77.phy,G_l_256_n_20_0_0.01_77.tre,49.499632
G_l_256_n_20_0_0.01_78.phy,G_l_256_n_20_0_0.01_78.tre,55.432805
G_l_256_n_20_0_0.01_81.phy,G_l_256_n_20_0_0.01_81.tre,52.438011
G_l_256_n_20_0_0.01_83.phy,G_l_256_n_20_0_0.01_83.tre,52.837104
G_l_256_n_20_0_0.01_87.phy,G_l_256_n_20_0_0.01_87.tre,54.013053
G_l_256_n_20_0_0.01_90.phy,G_l_256_n_20_0_0.01_90.tre,51.882863
G_l_256_n_20_0_0.01_93.phy,G_l_256_n_20_0_0.01_93.tre,53.632823
G_l_256_n_20_0_0.01_96.phy,G_l_256_n_20_0_0.01_96.tre,53.487419
G_l_256_n_20_0_0.01_97.phy,G_l_256_n_20_0_0.01_97.tre,56.745006
G_l_256_n_20_0_0.02_109.phy,G_l_256_n_20_0_0.02_109.tre,55.205075
G_l_256_n_20_0_0.02_110.phy,G_l_256_n_20_0_0.02_110.tre,51.268324
G_l_256_n_20_0_0.02_111.phy,G_l_256_n_20_0_0.02_111.tre,51.138564
G_l_256_n_20_0_0.02_115.phy,G_l_256_n_20_0_0.02_115.tre,52.093184
G_l_256_n_20_0_0.02_118.phy,G_l_256_n_20_0_0.02_118.tre,54.232592
G_l_256_n_20_0_0.02_123.phy,G_l_256_n_20_0_0.02_123.tre,54.277057
G_l_256_n_20_0_0.02_14.phy,G_l_256_n_20_0_0.02_14.tre,52.698338
G_l_256_n_20_0_0.02_2.phy,G_l_256_n_20_0_0.02_2.tre,56.356359
G_l_256_n_20_0_0.02_20.phy,G_l_256_n_20_0_0.02_20.tre,54.025748
