instance,tree_file,inference_time_seconds
G_l_256_n_50_0_0.01_104.phy,G_l_256_n_50_0_0.01_104.tre,1.579554
G_l_256_n_50_0_0.01_110.phy,G_l_256_n_50_0_0.01_110.tre,0.371703
G_l_256_n_50_0_0.01_112.phy,G_l_256_n_50_0_0.01_112.tre,0.515307
G_l_256_n_50_0_0.01_113.phy,G_l_256_n_50_0_0.01_113.tre,0.375566
G_l_256_n_50_0_0.01_117.phy,G_l_256_n_50_0_0.01_117.tre,0.369804
G_l_256_n_50_0_0.01_121.phy,G_l_256_n_50_0_0.01_121.tre,0.368963
G_l_256_n_50_0_0.01_17.phy,G_l_256_n_50_0_0.01_17.tre,0.373215
G_l_256_n_50_0_0.01_21.phy,G_l_256_n_50_0_0.01_21.tre,0.369266
G_l_256_n_50_0_0.01_23.phy,G_l_256_n_50_0_0.01_23.tre,0.374359
G_l_256_n_50_0_0.01_26.phy,G_l_256_n_50_0_0.01_26.tre,0.370815
G_l_256_n_50_0_0.01_31.phy,G_l_256_n_50_0_0.01_31.tre,0.376659
G_l_256_n_50_0_0.01_38.phy,G_l_256_n_50_0_0.01_38.tre,0.514629
G_l_256_n_50_0_0.01_40.phy,G_l_256_n_50_0_0.01_40.tre,0.373946
G_l_256_n_50_0_0.01_44.phy,G_l_256_n_50_0_0.01_44.tre,0.366816
G_l_256_n_50_0_0.01_52.phy,G_l_256_n_50_0_0.01_52.tre,0.368464
G_l_256_n_50_0_0.01_57.phy,G_l_256_n_50_0_0.01_57.tre,0.370264
G_l_256_n_50_0_0.01_60.phy,G_l_256_n_50_0_0.01_60.tre,0.365702
G_l_256_n_50_0_0.01_62.phy,G_l_256_n_50_0_0.01_62.tre,0.367422
G_l_256_n_50_0_0.01_69.phy,G_l_256_n_50_0_0.01_69.tre,0.367151
G_l_256_n_50_0_0.01_78.phy,G_l_256_n_50_0_0.01_78.tre,0.368495
G_l_256_n_50_0_0.01_83.phy,G_l_256_n_50_0_0.01_83.tre,0.371226
G_l_256_n_50_0_0.01_9.phy,G_l_256_n_50_0_0.01_9.tre,0.552478
G_l_256_n_50_0_0.01_91.phy,G_l_256_n_50_0_0.01_91.tre,0.372106
G_l_256_n_50_0_0.01_93.phy,G_l_256_n_50_0_0.01_93.tre,0.369391
G_l_256_n_50_0_0.01_94.phy,G_l_256_n_50_0_0.01_94.tre,0.371021
G_l_256_n_50_0_0.01_97.phy,G_l_256_n_50_0_0.01_97.tre,0.370616
G_l_256_n_50_0_0.02_0.phy,G_l_256_n_50_0_0.02_0.tre,0.370886
G_l_256_n_50_0_0.02_101.phy,G_l_256_n_50_0_0.02_101.tre,0.371318
G_l_256_n_50_0_0.02_103.phy,G_l_256_n_50_0_0.02_103.tre,0.378185
G_l_256_n_50_0_0.02_106.phy,G_l_256_n_50_0_0.02_106.tre,0.373264
G_l_256_n_50_0_0.02_11.phy,G_l_256_n_50_0_0.02_11.tre,0.370203
G_l_256_n_50_0_0.02_111.phy,G_l_256_n_50_0_0.02_111.tre,0.484325
G_l_256_n_50_0_0.02_12.phy,G_l_256_n_50_0_0.02_12.tre,0.370422
G_l_256_n_50_0_0.02_125.phy,G_l_256_n_50_0_0.02_125.tre,0.376784
G_l_256_n_50_0_0.02_14.phy,G_l_256_n_50_0_0.02_14.tre,0.369425
G_l_256_n_50_0_0.02_16.phy,G_l_256_n_50_0_0.02_16.tre,0.373291
G_l_256_n_50_0_0.02_2.phy,G_l_256_n_50_0_0.02_2.tre,0.387487
G_l_256_n_50_0_0.02_22.phy,G_l_256_n_50_0_0.02_22.tre,0.378330
G_l_256_n_50_0_0.02_25.phy,G_l_256_n_50_0_0.02_25.tre,0.376631
G_l_256_n_50_0_0.02_27.phy,G_l_256_n_50_0_0.02_27.tre,0.371414
G_l_256_n_50_0_0.02_32.phy,G_l_256_n_50_0_0.02_32.tre,0.554855
G_l_256_n_50_0_0.02_35.phy,G_l_256_n_50_0_0.02_35.tre,0.372128
G_l_256_n_50_0_0.02_36.phy,G_l_256_n_50_0_0.02_36.tre,0.372669
G_l_256_n_50_0_0.02_42.phy,G_l_256_n_50_0_0.02_42.tre,0.376006
G_l_256_n_50_0_0.02_50.phy,G_l_256_n_50_0_0.02_50.tre,0.372949
G_l_256_n_50_0_0.02_63.phy,G_l_256_n_50_0_0.02_63.tre,0.370858
G_l_256_n_50_0_0.02_66.phy,G_l_256_n_50_0_0.02_66.tre,0.377773
G_l_256_n_50_0_0.02_76.phy,G_l_256_n_50_0_0.02_76.tre,0.372094
G_l_256_n_50_0_0.02_77.phy,G_l_256_n_50_0_0.02_77.tre,0.371086
G_l_256_n_50_0_0.02_81.phy,G_l_256_n_50_0_0.02_81.tre,0.370612
G_l_256_n_50_0_0.02_84.phy,G_l_256_n_50_0_0.02_84.tre,0.486109
G_l_256_n_50_0_0.02_85.phy,G_l_256_n_50_0_0.02_85.tre,0.372422
G_l_256_n_50_0_0.02_90.phy,G_l_256_n_50_0_0.02_90.tre,0.375938
G_l_256_n_50_0_0.02_95.phy,G_l_256_n_50_0_0.02_95.tre,0.364924
G_l_256_n_50_0_0.03_100.phy,G_l_256_n_50_0_0.03_100.tre,0.362953
G_l_256_n_50_0_0.03_102.phy,G_l_256_n_50_0_0.03_102.tre,0.363678
G_l_256_n_50_0_0.03_109.phy,G_l_256_n_50_0_0.03_109.tre,0.364238
G_l_256_n_50_0_0.03_114.phy,G_l_256_n_50_0_0.03_114.tre,0.366560
G_l_256_n_50_0_0.03_120.phy,G_l_256_n_50_0_0.03_120.tre,0.374185
G_l_256_n_50_0_0.03_122.phy,G_l_256_n_50_0_0.03_122.tre,0.534568
G_l_256_n_50_0_0.03_123.phy,G_l_256_n_50_0_0.03_123.tre,0.373250
G_l_256_n_50_0_0.03_127.phy,G_l_256_n_50_0_0.03_127.tre,0.373972
G_l_256_n_50_0_0.03_13.phy,G_l_256_n_50_0_0.03_13.tre,0.368816
G_l_256_n_50_0_0.03_20.phy,G_l_256_n_50_0_0.03_20.tre,0.367117
G_l_256_n_50_0_0.03_24.phy,G_l_256_n_50_0_0.03_24.tre,0.368388
G_l_256_n_50_0_0.03_3.phy,G_l_256_n_50_0_0.03_3.tre,0.366194
G_l_256_n_50_0_0.03_45.phy,G_l_256_n_50_0_0.03_45.tre,0.367103
G_l_256_n_50_0_0.03_47.phy,G_l_256_n_50_0_0.03_47.tre,0.366605
G_l_256_n_50_0_0.03_5.phy,G_l_256_n_50_0_0.03_5.tre,0.372586
G_l_256_n_50_0_0.03_51.phy,G_l_256_n_50_0_0.03_51.tre,0.481563
G_l_256_n_50_0_0.03_54.phy,G_l_256_n_50_0_0.03_54.tre,0.372324
G_l_256_n_50_0_0.03_61.phy,G_l_256_n_50_0_0.03_61.tre,0.366683
G_l_256_n_50_0_0.03_68.phy,G_l_256_n_50_0_0.03_68.tre,0.368069
G_l_256_n_50_0_0.03_7.phy,G_l_256_n_50_0_0.03_7.tre,0.368925
