dataset	gene	tree_file	rf	nrf
SongD1	gene182	RAxML_bestTree.gene182	18.0	0.2647058823529412
SongD1	gene183	RAxML_bestTree.gene183	22.0	0.3235294117647059
SongD1	gene184	RAxML_bestTree.gene184	14.0	0.20588235294117646
SongD1	gene185	RAxML_bestTree.gene185	20.0	0.29411764705882354
SongD1	gene186	RAxML_bestTree.gene186	20.0	0.29411764705882354
SongD1	gene187	RAxML_bestTree.gene187	20.0	0.29411764705882354
SongD1	gene188	RAxML_bestTree.gene188	22.0	0.3235294117647059
SongD1	gene189	RAxML_bestTree.gene189	22.0	0.3235294117647059
SongD1	gene19	RAxML_bestTree.gene19	6.0	0.08823529411764706
SongD1	gene190	RAxML_bestTree.gene190	14.0	0.20588235294117646
SongD1	gene191	RAxML_bestTree.gene191	14.0	0.20588235294117646
SongD1	gene192	RAxML_bestTree.gene192	16.0	0.23529411764705882
SongD1	gene193	RAxML_bestTree.gene193	18.0	0.2647058823529412
SongD1	gene194	RAxML_bestTree.gene194	14.0	0.20588235294117646
SongD1	gene195	RAxML_bestTree.gene195	30.0	0.4411764705882353
SongD1	gene196	RAxML_bestTree.gene196	18.0	0.2647058823529412
SongD1	gene198	RAxML_bestTree.gene198	8.0	0.11764705882352941
SongD1	gene2	RAxML_bestTree.gene2	16.0	0.23529411764705882
SongD1	gene20	RAxML_bestTree.gene20	24.0	0.35294117647058826
SongD1	gene201	RAxML_bestTree.gene201	12.0	0.17647058823529413
SongD1	gene202	RAxML_bestTree.gene202	16.0	0.23529411764705882
SongD1	gene203	RAxML_bestTree.gene203	38.0	0.5588235294117647
SongD1	gene204	RAxML_bestTree.gene204	24.0	0.35294117647058826
SongD1	gene205	RAxML_bestTree.gene205	16.0	0.23529411764705882
SongD1	gene206	RAxML_bestTree.gene206	10.0	0.14705882352941177
SongD1	gene207	RAxML_bestTree.gene207	14.0	0.20588235294117646
SongD1	gene208	RAxML_bestTree.gene208	32.0	0.47058823529411764
SongD1	gene21	RAxML_bestTree.gene21	20.0	0.29411764705882354
SongD1	gene210	RAxML_bestTree.gene210	14.0	0.20588235294117646
SongD1	gene211	RAxML_bestTree.gene211	18.0	0.2647058823529412
SongD1	gene212	RAxML_bestTree.gene212	12.0	0.17647058823529413
SongD1	gene213	RAxML_bestTree.gene213	14.0	0.20588235294117646
SongD1	gene214	RAxML_bestTree.gene214	8.0	0.11764705882352941
SongD1	gene215	RAxML_bestTree.gene215	16.0	0.23529411764705882
SongD1	gene216	RAxML_bestTree.gene216	30.0	0.4411764705882353
SongD1	gene217	RAxML_bestTree.gene217	14.0	0.20588235294117646
SongD1	gene218	RAxML_bestTree.gene218	12.0	0.17647058823529413
SongD1	gene219	RAxML_bestTree.gene219	38.0	0.5588235294117647
SongD1	gene22	RAxML_bestTree.gene22	20.0	0.29411764705882354
SongD1	gene220	RAxML_bestTree.gene220	26.0	0.38235294117647056
SongD1	gene221	RAxML_bestTree.gene221	18.0	0.2647058823529412
SongD1	gene222	RAxML_bestTree.gene222	14.0	0.20588235294117646
SongD1	gene223	RAxML_bestTree.gene223	12.0	0.17647058823529413
SongD1	gene224	RAxML_bestTree.gene224	16.0	0.23529411764705882
SongD1	gene225	RAxML_bestTree.gene225	16.0	0.23529411764705882
SongD1	gene226	RAxML_bestTree.gene226	10.0	0.14705882352941177
SongD1	gene227	RAxML_bestTree.gene227	22.0	0.3235294117647059
SongD1	gene228	RAxML_bestTree.gene228	12.0	0.17647058823529413
SongD1	gene229	RAxML_bestTree.gene229	26.0	0.38235294117647056
SongD1	gene23	RAxML_bestTree.gene23	22.0	0.3235294117647059
SongD1	gene230	RAxML_bestTree.gene230	16.0	0.23529411764705882
SongD1	gene231	RAxML_bestTree.gene231	22.0	0.3235294117647059
SongD1	gene233	RAxML_bestTree.gene233	6.0	0.08823529411764706
SongD1	gene234	RAxML_bestTree.gene234	14.0	0.20588235294117646
SongD1	gene235	RAxML_bestTree.gene235	30.0	0.4411764705882353
SongD1	gene236	RAxML_bestTree.gene236	4.0	0.058823529411764705
SongD1	gene237	RAxML_bestTree.gene237	10.0	0.14705882352941177
SongD1	gene238	RAxML_bestTree.gene238	14.0	0.20588235294117646
SongD1	gene239	RAxML_bestTree.gene239	22.0	0.3235294117647059
SongD1	gene24	RAxML_bestTree.gene24	32.0	0.47058823529411764
SongD1	gene240	RAxML_bestTree.gene240	26.0	0.38235294117647056
SongD1	gene241	RAxML_bestTree.gene241	12.0	0.17647058823529413
SongD1	gene242	RAxML_bestTree.gene242	12.0	0.17647058823529413
SongD1	gene243	RAxML_bestTree.gene243	16.0	0.23529411764705882
SongD1	gene244	RAxML_bestTree.gene244	20.0	0.29411764705882354
SongD1	gene245	RAxML_bestTree.gene245	20.0	0.29411764705882354
SongD1	gene246	RAxML_bestTree.gene246	14.0	0.20588235294117646
SongD1	gene247	RAxML_bestTree.gene247	14.0	0.20588235294117646
SongD1	gene248	RAxML_bestTree.gene248	16.0	0.23529411764705882
SongD1	gene249	RAxML_bestTree.gene249	16.0	0.23529411764705882
SongD1	gene25	RAxML_bestTree.gene25	16.0	0.23529411764705882
SongD1	gene250	RAxML_bestTree.gene250	16.0	0.23529411764705882
SongD1	gene251	RAxML_bestTree.gene251	16.0	0.23529411764705882
SongD1	gene252	RAxML_bestTree.gene252	20.0	0.29411764705882354
SongD1	gene253	RAxML_bestTree.gene253	18.0	0.2647058823529412
SongD1	gene254	RAxML_bestTree.gene254	14.0	0.20588235294117646
SongD1	gene255	RAxML_bestTree.gene255	14.0	0.20588235294117646
SongD1	gene256	RAxML_bestTree.gene256	20.0	0.29411764705882354
SongD1	gene258	RAxML_bestTree.gene258	24.0	0.35294117647058826
SongD1	gene259	RAxML_bestTree.gene259	34.0	0.5
SongD1	gene26	RAxML_bestTree.gene26	42.0	0.6176470588235294
