instance,tree_file,inference_time_seconds
G_l_256_n_50_0_0.01_104.phy,G_l_256_n_50_0_0.01_104.tre,95.554507
G_l_256_n_50_0_0.01_110.phy,G_l_256_n_50_0_0.01_110.tre,80.250268
G_l_256_n_50_0_0.01_112.phy,G_l_256_n_50_0_0.01_112.tre,82.878815
G_l_256_n_50_0_0.01_113.phy,G_l_256_n_50_0_0.01_113.tre,87.631981
G_l_256_n_50_0_0.01_117.phy,G_l_256_n_50_0_0.01_117.tre,90.727664
G_l_256_n_50_0_0.01_121.phy,G_l_256_n_50_0_0.01_121.tre,84.505872
G_l_256_n_50_0_0.01_17.phy,G_l_256_n_50_0_0.01_17.tre,87.429521
G_l_256_n_50_0_0.01_21.phy,G_l_256_n_50_0_0.01_21.tre,79.975065
G_l_256_n_50_0_0.01_23.phy,G_l_256_n_50_0_0.01_23.tre,85.193187
G_l_256_n_50_0_0.01_26.phy,G_l_256_n_50_0_0.01_26.tre,83.576352
G_l_256_n_50_0_0.01_31.phy,G_l_256_n_50_0_0.01_31.tre,93.279663
G_l_256_n_50_0_0.01_38.phy,G_l_256_n_50_0_0.01_38.tre,89.024338
G_l_256_n_50_0_0.01_40.phy,G_l_256_n_50_0_0.01_40.tre,91.432887
G_l_256_n_50_0_0.01_44.phy,G_l_256_n_50_0_0.01_44.tre,91.397017
G_l_256_n_50_0_0.01_52.phy,G_l_256_n_50_0_0.01_52.tre,81.991227
G_l_256_n_50_0_0.01_57.phy,G_l_256_n_50_0_0.01_57.tre,87.896021
G_l_256_n_50_0_0.01_60.phy,G_l_256_n_50_0_0.01_60.tre,82.811626
G_l_256_n_50_0_0.01_62.phy,G_l_256_n_50_0_0.01_62.tre,94.117856
G_l_256_n_50_0_0.01_69.phy,G_l_256_n_50_0_0.01_69.tre,87.181329
G_l_256_n_50_0_0.01_78.phy,G_l_256_n_50_0_0.01_78.tre,85.731846
G_l_256_n_50_0_0.01_83.phy,G_l_256_n_50_0_0.01_83.tre,95.507390
G_l_256_n_50_0_0.01_9.phy,G_l_256_n_50_0_0.01_9.tre,94.475525
G_l_256_n_50_0_0.01_91.phy,G_l_256_n_50_0_0.01_91.tre,91.562122
G_l_256_n_50_0_0.01_93.phy,G_l_256_n_50_0_0.01_93.tre,94.152584
G_l_256_n_50_0_0.01_94.phy,G_l_256_n_50_0_0.01_94.tre,90.839519
G_l_256_n_50_0_0.01_97.phy,G_l_256_n_50_0_0.01_97.tre,87.727373
G_l_256_n_50_0_0.02_0.phy,G_l_256_n_50_0_0.02_0.tre,92.153763
G_l_256_n_50_0_0.02_101.phy,G_l_256_n_50_0_0.02_101.tre,87.853513
G_l_256_n_50_0_0.02_103.phy,G_l_256_n_50_0_0.02_103.tre,85.493047
G_l_256_n_50_0_0.02_106.phy,G_l_256_n_50_0_0.02_106.tre,90.015555
G_l_256_n_50_0_0.02_11.phy,G_l_256_n_50_0_0.02_11.tre,91.957462
G_l_256_n_50_0_0.02_111.phy,G_l_256_n_50_0_0.02_111.tre,84.191441
G_l_256_n_50_0_0.02_12.phy,G_l_256_n_50_0_0.02_12.tre,90.055230
G_l_256_n_50_0_0.02_125.phy,G_l_256_n_50_0_0.02_125.tre,85.186828
G_l_256_n_50_0_0.02_14.phy,G_l_256_n_50_0_0.02_14.tre,83.221908
G_l_256_n_50_0_0.02_16.phy,G_l_256_n_50_0_0.02_16.tre,90.563990
G_l_256_n_50_0_0.02_2.phy,G_l_256_n_50_0_0.02_2.tre,82.195342
G_l_256_n_50_0_0.02_22.phy,G_l_256_n_50_0_0.02_22.tre,88.276218
G_l_256_n_50_0_0.02_25.phy,G_l_256_n_50_0_0.02_25.tre,83.442228
G_l_256_n_50_0_0.02_27.phy,G_l_256_n_50_0_0.02_27.tre,94.376168
G_l_256_n_50_0_0.02_32.phy,G_l_256_n_50_0_0.02_32.tre,85.190561
G_l_256_n_50_0_0.02_35.phy,G_l_256_n_50_0_0.02_35.tre,86.996144
G_l_256_n_50_0_0.02_36.phy,G_l_256_n_50_0_0.02_36.tre,87.956774
G_l_256_n_50_0_0.02_42.phy,G_l_256_n_50_0_0.02_42.tre,83.328642
G_l_256_n_50_0_0.02_50.phy,G_l_256_n_50_0_0.02_50.tre,88.851216
G_l_256_n_50_0_0.02_63.phy,G_l_256_n_50_0_0.02_63.tre,88.333648
G_l_256_n_50_0_0.02_66.phy,G_l_256_n_50_0_0.02_66.tre,84.423968
G_l_256_n_50_0_0.02_76.phy,G_l_256_n_50_0_0.02_76.tre,94.603090
