instance,tree_file,inference_time_seconds
G_l_256_n_100_0_0.01_101.phy,G_l_256_n_100_0_0.01_101.tre,286.242966
G_l_256_n_100_0_0.01_108.phy,G_l_256_n_100_0_0.01_108.tre,292.039791
G_l_256_n_100_0_0.01_116.phy,G_l_256_n_100_0_0.01_116.tre,310.765638
G_l_256_n_100_0_0.01_12.phy,G_l_256_n_100_0_0.01_12.tre,292.811419
G_l_256_n_100_0_0.01_126.phy,G_l_256_n_100_0_0.01_126.tre,308.654739
G_l_256_n_100_0_0.01_21.phy,G_l_256_n_100_0_0.01_21.tre,294.324221
G_l_256_n_100_0_0.01_23.phy,G_l_256_n_100_0_0.01_23.tre,289.365210
G_l_256_n_100_0_0.01_25.phy,G_l_256_n_100_0_0.01_25.tre,286.100678
G_l_256_n_100_0_0.01_28.phy,G_l_256_n_100_0_0.01_28.tre,299.248740
G_l_256_n_100_0_0.01_31.phy,G_l_256_n_100_0_0.01_31.tre,270.251297
G_l_256_n_100_0_0.01_32.phy,G_l_256_n_100_0_0.01_32.tre,275.590907
G_l_256_n_100_0_0.01_36.phy,G_l_256_n_100_0_0.01_36.tre,280.548063
G_l_256_n_100_0_0.01_38.phy,G_l_256_n_100_0_0.01_38.tre,279.343822
G_l_256_n_100_0_0.01_39.phy,G_l_256_n_100_0_0.01_39.tre,309.082749
G_l_256_n_100_0_0.01_42.phy,G_l_256_n_100_0_0.01_42.tre,288.128568
G_l_256_n_100_0_0.01_46.phy,G_l_256_n_100_0_0.01_46.tre,303.280305
G_l_256_n_100_0_0.01_51.phy,G_l_256_n_100_0_0.01_51.tre,286.072259
G_l_256_n_100_0_0.01_54.phy,G_l_256_n_100_0_0.01_54.tre,286.243305
G_l_256_n_100_0_0.01_55.phy,G_l_256_n_100_0_0.01_55.tre,281.624903
G_l_256_n_100_0_0.01_60.phy,G_l_256_n_100_0_0.01_60.tre,298.108301
G_l_256_n_100_0_0.01_64.phy,G_l_256_n_100_0_0.01_64.tre,293.737493
G_l_256_n_100_0_0.01_72.phy,G_l_256_n_100_0_0.01_72.tre,319.411169
G_l_256_n_100_0_0.01_73.phy,G_l_256_n_100_0_0.01_73.tre,306.482205
G_l_256_n_100_0_0.01_8.phy,G_l_256_n_100_0_0.01_8.tre,310.627605
G_l_256_n_100_0_0.01_81.phy,G_l_256_n_100_0_0.01_81.tre,310.047852
G_l_256_n_100_0_0.01_85.phy,G_l_256_n_100_0_0.01_85.tre,279.403161
G_l_256_n_100_0_0.01_89.phy,G_l_256_n_100_0_0.01_89.tre,281.439323
G_l_256_n_100_0_0.01_9.phy,G_l_256_n_100_0_0.01_9.tre,293.615669
G_l_256_n_100_0_0.01_91.phy,G_l_256_n_100_0_0.01_91.tre,281.343415
G_l_256_n_100_0_0.01_92.phy,G_l_256_n_100_0_0.01_92.tre,285.669133
G_l_256_n_100_0_0.01_94.phy,G_l_256_n_100_0_0.01_94.tre,278.714338
G_l_256_n_100_0_0.01_96.phy,G_l_256_n_100_0_0.01_96.tre,285.326065
G_l_256_n_100_0_0.02_1.phy,G_l_256_n_100_0_0.02_1.tre,284.521660
G_l_256_n_100_0_0.02_10.phy,G_l_256_n_100_0_0.02_10.tre,319.502678
G_l_256_n_100_0_0.02_100.phy,G_l_256_n_100_0_0.02_100.tre,287.566602
G_l_256_n_100_0_0.02_104.phy,G_l_256_n_100_0_0.02_104.tre,289.143063
G_l_256_n_100_0_0.02_105.phy,G_l_256_n_100_0_0.02_105.tre,305.006331
G_l_256_n_100_0_0.02_106.phy,G_l_256_n_100_0_0.02_106.tre,290.330881
