instance,tree_file,inference_time_seconds
5939.aln,5939.tre,1.442444
5944.aln,5944.tre,0.365720
5951.aln,5951.tre,0.073449
5954.aln,5954.tre,0.612573
5955.aln,5955.tre,0.538522
5957.aln,5957.tre,1.115994
5959.aln,5959.tre,0.878877
5964.aln,5964.tre,0.674576
5967.aln,5967.tre,1.218665
5979.aln,5979.tre,0.838519
5986.aln,5986.tre,0.360610
5991.aln,5991.tre,0.278368
5993.aln,5993.tre,0.934443
6000.aln,6000.tre,1.156789
6001.aln,6001.tre,1.012867
6002.aln,6002.tre,0.462021
6010.aln,6010.tre,0.594743
6012.aln,6012.tre,0.475870
6016.aln,6016.tre,0.322240
6022.aln,6022.tre,0.707698
6025.aln,6025.tre,1.234285
6026.aln,6026.tre,0.741935
6031.aln,6031.tre,0.744193
6032.aln,6032.tre,1.339782
6033.aln,6033.tre,1.195984
6036.aln,6036.tre,0.485137
6039.aln,6039.tre,0.418718
6040.aln,6040.tre,1.123435
6043.aln,6043.tre,0.603725
6045.aln,6045.tre,0.199809
6051.aln,6051.tre,0.942520
6053.aln,6053.tre,1.437233
6066.aln,6066.tre,1.036276
6069.aln,6069.tre,0.927728
6075.aln,6075.tre,0.830360
6076.aln,6076.tre,0.558445
6077.aln,6077.tre,1.090435
6086.aln,6086.tre,0.532023
6092.aln,6092.tre,0.434343
6094.aln,6094.tre,0.619685
6107.aln,6107.tre,0.792988
6120.aln,6120.tre,1.051131
6121.aln,6121.tre,0.514001
6123.aln,6123.tre,0.195911
6128.aln,6128.tre,0.636286
6130.aln,6130.tre,0.916629
6131.aln,6131.tre,0.322608
6134.aln,6134.tre,0.634097
6140.aln,6140.tre,1.161299
6145.aln,6145.tre,1.248761
6150.aln,6150.tre,1.304240
6154.aln,6154.tre,0.977166
6155.aln,6155.tre,0.797833
6159.aln,6159.tre,0.318278
6162.aln,6162.tre,0.263928
6170.aln,6170.tre,0.234409
6171.aln,6171.tre,0.803083
6175.aln,6175.tre,0.467103
6176.aln,6176.tre,0.234284
6178.aln,6178.tre,0.346375
6179.aln,6179.tre,1.279169
6180.aln,6180.tre,0.145938
6189.aln,6189.tre,1.075645
6191.aln,6191.tre,0.736778
6193.aln,6193.tre,0.693062
6194.aln,6194.tre,0.504271
6195.aln,6195.tre,0.481974
6201.aln,6201.tre,0.146168
6202.aln,6202.tre,1.136138
6207.aln,6207.tre,0.313741
6210.aln,6210.tre,1.364644
6214.aln,6214.tre,1.921416
6215.aln,6215.tre,0.708995
6224.aln,6224.tre,0.618272
6226.aln,6226.tre,0.846890
6230.aln,6230.tre,0.806013
6233.aln,6233.tre,0.761734
6240.aln,6240.tre,1.902383
6246.aln,6246.tre,1.052346
6248.aln,6248.tre,0.674150
6249.aln,6249.tre,1.370016
6251.aln,6251.tre,0.677944
6253.aln,6253.tre,0.909497
6262.aln,6262.tre,0.074166
6271.aln,6271.tre,0.389099
6280.aln,6280.tre,0.868787
6284.aln,6284.tre,0.559911
6290.aln,6290.tre,1.024114
6294.aln,6294.tre,1.166973
6296.aln,6296.tre,0.158926
6299.aln,6299.tre,0.887794
6301.aln,6301.tre,0.362989
6302.aln,6302.tre,0.391804
6308.aln,6308.tre,0.633343
6312.aln,6312.tre,0.835263
6313.aln,6313.tre,0.863117
6314.aln,6314.tre,0.594243
6315.aln,6315.tre,1.327079
6318.aln,6318.tre,0.999583
6321.aln,6321.tre,0.465417
6322.aln,6322.tre,0.300277
6324.aln,6324.tre,0.540381
6331.aln,6331.tre,1.946510
6334.aln,6334.tre,0.816483
6337.aln,6337.tre,0.405098
6339.aln,6339.tre,1.114944
6341.aln,6341.tre,0.742724
6342.aln,6342.tre,1.156757
6349.aln,6349.tre,1.194918
6350.aln,6350.tre,0.721008
6352.aln,6352.tre,0.848478
6353.aln,6353.tre,0.128241
6354.aln,6354.tre,0.871423
6358.aln,6358.tre,0.446916
6360.aln,6360.tre,0.144506
6361.aln,6361.tre,0.940390
6366.aln,6366.tre,1.199022
6374.aln,6374.tre,0.793860
6376.aln,6376.tre,1.058536
6379.aln,6379.tre,0.523017
6380.aln,6380.tre,1.121152
6381.aln,6381.tre,0.891647
6383.aln,6383.tre,1.149697
6387.aln,6387.tre,1.243999
6390.aln,6390.tre,0.960000
6392.aln,6392.tre,1.033637
6401.aln,6401.tre,0.609032
6403.aln,6403.tre,0.860094
6405.aln,6405.tre,0.943334
6406.aln,6406.tre,1.085645
6407.aln,6407.tre,0.900427
6410.aln,6410.tre,0.312541
6411.aln,6411.tre,0.846432
6412.aln,6412.tre,0.883678
6413.aln,6413.tre,1.354671
6414.aln,6414.tre,0.869992
6416.aln,6416.tre,0.923767
6418.aln,6418.tre,1.040251
6421.aln,6421.tre,0.769844
