instance,tree_file,inference_time_seconds
ENSG00000005471.nuc.ord.aln,ENSG00000005471.nuc.ord.tre,1.389242
ENSG00000005483.nuc.ord.aln,ENSG00000005483.nuc.ord.tre,2.456625
ENSG00000005486.nuc.ord.aln,ENSG00000005486.nuc.ord.tre,0.550303
ENSG00000005700.nuc.ord.aln,ENSG00000005700.nuc.ord.tre,1.675488
ENSG00000005810.nuc.ord.aln,ENSG00000005810.nuc.ord.tre,11.609218
ENSG00000005812.nuc.ord.aln,ENSG00000005812.nuc.ord.tre,0.448067
ENSG00000005844.nuc.ord.aln,ENSG00000005844.nuc.ord.tre,1.441772
ENSG00000005882.nuc.ord.aln,ENSG00000005882.nuc.ord.tre,0.402931
ENSG00000005884.nuc.ord.aln,ENSG00000005884.nuc.ord.tre,1.310275
ENSG00000005893.nuc.ord.aln,ENSG00000005893.nuc.ord.tre,0.435883
ENSG00000005955.nuc.ord.aln,ENSG00000005955.nuc.ord.tre,0.676158
ENSG00000005961.nuc.ord.aln,ENSG00000005961.nuc.ord.tre,0.926995
ENSG00000005981.nuc.ord.aln,ENSG00000005981.nuc.ord.tre,0.391735
ENSG00000006007.nuc.ord.aln,ENSG00000006007.nuc.ord.tre,0.535702
ENSG00000006025.nuc.ord.aln,ENSG00000006025.nuc.ord.tre,1.192856
ENSG00000006042.nuc.ord.aln,ENSG00000006042.nuc.ord.tre,0.340228
ENSG00000006047.nuc.ord.aln,ENSG00000006047.nuc.ord.tre,0.389130
ENSG00000006062.nuc.ord.aln,ENSG00000006062.nuc.ord.tre,1.074536
ENSG00000006071.nuc.ord.aln,ENSG00000006071.nuc.ord.tre,2.214358
ENSG00000006114.nuc.ord.aln,ENSG00000006114.nuc.ord.tre,1.927047
ENSG00000006116.nuc.ord.aln,ENSG00000006116.nuc.ord.tre,0.326049
ENSG00000006118.nuc.ord.aln,ENSG00000006118.nuc.ord.tre,1.022431
ENSG00000006125.nuc.ord.aln,ENSG00000006125.nuc.ord.tre,1.041884
ENSG00000006128.nuc.ord.aln,ENSG00000006128.nuc.ord.tre,0.269107
ENSG00000006194.nuc.ord.aln,ENSG00000006194.nuc.ord.tre,0.666809
ENSG00000006210.nuc.ord.aln,ENSG00000006210.nuc.ord.tre,0.428604
ENSG00000006377.nuc.ord.aln,ENSG00000006377.nuc.ord.tre,0.368084
ENSG00000006432.nuc.ord.aln,ENSG00000006432.nuc.ord.tre,1.047529
ENSG00000006451.nuc.ord.aln,ENSG00000006451.nuc.ord.tre,0.319542
ENSG00000006453.nuc.ord.aln,ENSG00000006453.nuc.ord.tre,0.449185
ENSG00000006459.nuc.ord.aln,ENSG00000006459.nuc.ord.tre,0.934281
ENSG00000006468.nuc.ord.aln,ENSG00000006468.nuc.ord.tre,0.484707
ENSG00000006530.nuc.ord.aln,ENSG00000006530.nuc.ord.tre,0.541942
ENSG00000006555.nuc.ord.aln,ENSG00000006555.nuc.ord.tre,0.406338
ENSG00000006576.nuc.ord.aln,ENSG00000006576.nuc.ord.tre,0.744444
ENSG00000006611.nuc.ord.aln,ENSG00000006611.nuc.ord.tre,0.875400
ENSG00000006625.nuc.ord.aln,ENSG00000006625.nuc.ord.tre,0.323739
ENSG00000006634.nuc.ord.aln,ENSG00000006634.nuc.ord.tre,0.579805
ENSG00000006638.nuc.ord.aln,ENSG00000006638.nuc.ord.tre,0.314063
ENSG00000006652.nuc.ord.aln,ENSG00000006652.nuc.ord.tre,0.428644
ENSG00000006695.nuc.ord.aln,ENSG00000006695.nuc.ord.tre,0.442347
ENSG00000006704.nuc.ord.aln,ENSG00000006704.nuc.ord.tre,1.426860
ENSG00000006712.nuc.ord.aln,ENSG00000006712.nuc.ord.tre,0.455190
ENSG00000006715.nuc.ord.aln,ENSG00000006715.nuc.ord.tre,0.929834
ENSG00000006740.nuc.ord.aln,ENSG00000006740.nuc.ord.tre,0.873005
ENSG00000006744.nuc.ord.aln,ENSG00000006744.nuc.ord.tre,0.817907
ENSG00000006747.nuc.ord.aln,ENSG00000006747.nuc.ord.tre,0.953262
ENSG00000006788.nuc.ord.aln,ENSG00000006788.nuc.ord.tre,1.781991
ENSG00000006837.nuc.ord.aln,ENSG00000006837.nuc.ord.tre,0.428678
ENSG00000007001.nuc.ord.aln,ENSG00000007001.nuc.ord.tre,0.339348
ENSG00000007038.nuc.ord.aln,ENSG00000007038.nuc.ord.tre,0.284344
ENSG00000007062.nuc.ord.aln,ENSG00000007062.nuc.ord.tre,0.789629
ENSG00000007168.nuc.ord.aln,ENSG00000007168.nuc.ord.tre,0.420362
ENSG00000007174.nuc.ord.aln,ENSG00000007174.nuc.ord.tre,10.913239
ENSG00000007202.nuc.ord.aln,ENSG00000007202.nuc.ord.tre,3.799101
ENSG00000007237.nuc.ord.aln,ENSG00000007237.nuc.ord.tre,0.452420
ENSG00000007312.nuc.ord.aln,ENSG00000007312.nuc.ord.tre,0.369941
ENSG00000007314.nuc.ord.aln,ENSG00000007314.nuc.ord.tre,3.266198
ENSG00000007341.nuc.ord.aln,ENSG00000007341.nuc.ord.tre,0.639267
ENSG00000007372.nuc.ord.aln,ENSG00000007372.nuc.ord.tre,0.495745
ENSG00000007376.nuc.ord.aln,ENSG00000007376.nuc.ord.tre,0.294465
ENSG00000007384.nuc.ord.aln,ENSG00000007384.nuc.ord.tre,0.917998
ENSG00000007392.nuc.ord.aln,ENSG00000007392.nuc.ord.tre,0.386274
ENSG00000007520.nuc.ord.aln,ENSG00000007520.nuc.ord.tre,0.310310
ENSG00000007545.nuc.ord.aln,ENSG00000007545.nuc.ord.tre,1.940895
ENSG00000007866.nuc.ord.aln,ENSG00000007866.nuc.ord.tre,0.429613
ENSG00000007908.nuc.ord.aln,ENSG00000007908.nuc.ord.tre,0.709651
ENSG00000007923.nuc.ord.aln,ENSG00000007923.nuc.ord.tre,0.470623
ENSG00000007933.nuc.ord.aln,ENSG00000007933.nuc.ord.tre,0.425452
ENSG00000007944.nuc.ord.aln,ENSG00000007944.nuc.ord.tre,0.456292
ENSG00000007952.nuc.ord.aln,ENSG00000007952.nuc.ord.tre,0.397880
ENSG00000007968.nuc.ord.aln,ENSG00000007968.nuc.ord.tre,0.414453
ENSG00000008018.nuc.ord.aln,ENSG00000008018.nuc.ord.tre,0.308071
ENSG00000008056.nuc.ord.aln,ENSG00000008056.nuc.ord.tre,0.528142
ENSG00000008083.nuc.ord.aln,ENSG00000008083.nuc.ord.tre,1.505767
