instance,tree_file,inference_time_seconds
G_l_256_n_20_0_0.03_113.phy,G_l_256_n_20_0_0.03_113.tre,0.135796
G_l_256_n_20_0_0.03_125.phy,G_l_256_n_20_0_0.03_125.tre,0.133448
G_l_256_n_20_0_0.03_127.phy,G_l_256_n_20_0_0.03_127.tre,0.134325
G_l_256_n_20_0_0.03_18.phy,G_l_256_n_20_0_0.03_18.tre,0.135011
G_l_256_n_20_0_0.03_30.phy,G_l_256_n_20_0_0.03_30.tre,0.137302
G_l_256_n_20_0_0.03_31.phy,G_l_256_n_20_0_0.03_31.tre,0.137321
G_l_256_n_20_0_0.03_32.phy,G_l_256_n_20_0_0.03_32.tre,0.137249
G_l_256_n_20_0_0.03_4.phy,G_l_256_n_20_0_0.03_4.tre,0.136988
G_l_256_n_20_0_0.03_40.phy,G_l_256_n_20_0_0.03_40.tre,0.136715
G_l_256_n_20_0_0.03_43.phy,G_l_256_n_20_0_0.03_43.tre,0.138719
G_l_256_n_20_0_0.03_59.phy,G_l_256_n_20_0_0.03_59.tre,0.138065
G_l_256_n_20_0_0.03_60.phy,G_l_256_n_20_0_0.03_60.tre,0.137332
G_l_256_n_20_0_0.03_61.phy,G_l_256_n_20_0_0.03_61.tre,0.138037
G_l_256_n_20_0_0.03_64.phy,G_l_256_n_20_0_0.03_64.tre,0.136182
G_l_256_n_20_0_0.03_71.phy,G_l_256_n_20_0_0.03_71.tre,0.135955
G_l_256_n_20_0_0.03_79.phy,G_l_256_n_20_0_0.03_79.tre,0.138056
G_l_256_n_20_0_0.03_88.phy,G_l_256_n_20_0_0.03_88.tre,0.136298
G_l_256_n_20_0_0.03_89.phy,G_l_256_n_20_0_0.03_89.tre,0.137527
G_l_256_n_20_0_0.03_98.phy,G_l_256_n_20_0_0.03_98.tre,0.138347
G_l_256_n_20_0_0.04_102.phy,G_l_256_n_20_0_0.04_102.tre,0.135206
G_l_256_n_20_0_0.04_106.phy,G_l_256_n_20_0_0.04_106.tre,0.136832
G_l_256_n_20_0_0.04_108.phy,G_l_256_n_20_0_0.04_108.tre,0.135412
G_l_256_n_20_0_0.04_121.phy,G_l_256_n_20_0_0.04_121.tre,0.138447
G_l_256_n_20_0_0.04_19.phy,G_l_256_n_20_0_0.04_19.tre,0.138173
G_l_256_n_20_0_0.04_22.phy,G_l_256_n_20_0_0.04_22.tre,0.136779
G_l_256_n_20_0_0.04_29.phy,G_l_256_n_20_0_0.04_29.tre,0.140051
G_l_256_n_20_0_0.04_3.phy,G_l_256_n_20_0_0.04_3.tre,0.137750
G_l_256_n_20_0_0.04_34.phy,G_l_256_n_20_0_0.04_34.tre,0.137462
G_l_256_n_20_0_0.04_36.phy,G_l_256_n_20_0_0.04_36.tre,0.139291
G_l_256_n_20_0_0.04_38.phy,G_l_256_n_20_0_0.04_38.tre,0.136099
G_l_256_n_20_0_0.04_41.phy,G_l_256_n_20_0_0.04_41.tre,0.134660
G_l_256_n_20_0_0.04_45.phy,G_l_256_n_20_0_0.04_45.tre,0.347153
G_l_256_n_20_0_0.04_46.phy,G_l_256_n_20_0_0.04_46.tre,0.139515
G_l_256_n_20_0_0.04_47.phy,G_l_256_n_20_0_0.04_47.tre,0.148589
G_l_256_n_20_0_0.04_48.phy,G_l_256_n_20_0_0.04_48.tre,0.142234
G_l_256_n_20_0_0.04_5.phy,G_l_256_n_20_0_0.04_5.tre,0.141709
G_l_256_n_20_0_0.04_51.phy,G_l_256_n_20_0_0.04_51.tre,0.142325
G_l_256_n_20_0_0.04_69.phy,G_l_256_n_20_0_0.04_69.tre,0.137856
G_l_256_n_20_0_0.04_70.phy,G_l_256_n_20_0_0.04_70.tre,0.139486
G_l_256_n_20_0_0.04_72.phy,G_l_256_n_20_0_0.04_72.tre,0.141884
G_l_256_n_20_0_0.04_75.phy,G_l_256_n_20_0_0.04_75.tre,0.140569
G_l_256_n_20_0_0.04_8.phy,G_l_256_n_20_0_0.04_8.tre,0.139993
G_l_256_n_20_0_0_0.phy,G_l_256_n_20_0_0_0.tre,0.143035
G_l_256_n_20_0_0_1.phy,G_l_256_n_20_0_0_1.tre,0.133977
G_l_256_n_20_0_0_105.phy,G_l_256_n_20_0_0_105.tre,0.131346
G_l_256_n_20_0_0_107.phy,G_l_256_n_20_0_0_107.tre,0.131047
G_l_256_n_20_0_0_114.phy,G_l_256_n_20_0_0_114.tre,0.130855
G_l_256_n_20_0_0_116.phy,G_l_256_n_20_0_0_116.tre,0.136827
G_l_256_n_20_0_0_119.phy,G_l_256_n_20_0_0_119.tre,0.133348
G_l_256_n_20_0_0_12.phy,G_l_256_n_20_0_0_12.tre,0.132436
G_l_256_n_20_0_0_122.phy,G_l_256_n_20_0_0_122.tre,0.132445
G_l_256_n_20_0_0_124.phy,G_l_256_n_20_0_0_124.tre,0.143146
G_l_256_n_20_0_0_126.phy,G_l_256_n_20_0_0_126.tre,0.135405
G_l_256_n_20_0_0_17.phy,G_l_256_n_20_0_0_17.tre,0.136257
G_l_256_n_20_0_0_27.phy,G_l_256_n_20_0_0_27.tre,0.136700
G_l_256_n_20_0_0_28.phy,G_l_256_n_20_0_0_28.tre,0.137242
G_l_256_n_20_0_0_33.phy,G_l_256_n_20_0_0_33.tre,0.142172
G_l_256_n_20_0_0_35.phy,G_l_256_n_20_0_0_35.tre,0.137845
G_l_256_n_20_0_0_39.phy,G_l_256_n_20_0_0_39.tre,0.147043
G_l_256_n_20_0_0_52.phy,G_l_256_n_20_0_0_52.tre,0.143113
G_l_256_n_20_0_0_53.phy,G_l_256_n_20_0_0_53.tre,0.146037
G_l_256_n_20_0_0_54.phy,G_l_256_n_20_0_0_54.tre,0.141059
G_l_256_n_20_0_0_56.phy,G_l_256_n_20_0_0_56.tre,0.139978
G_l_256_n_20_0_0_57.phy,G_l_256_n_20_0_0_57.tre,0.141400
G_l_256_n_20_0_0_76.phy,G_l_256_n_20_0_0_76.tre,0.140048
G_l_256_n_20_0_0_82.phy,G_l_256_n_20_0_0_82.tre,0.140753
G_l_256_n_20_0_0_86.phy,G_l_256_n_20_0_0_86.tre,0.140018
G_l_256_n_20_0_0_9.phy,G_l_256_n_20_0_0_9.tre,0.140021
G_l_256_n_20_0_0_94.phy,G_l_256_n_20_0_0_94.tre,0.140161
instance,tree_file,inference_time_seconds
G_l_512_n_20_0_0.01_102.phy,G_l_512_n_20_0_0.01_102.tre,1.347077
G_l_512_n_20_0_0.01_107.phy,G_l_512_n_20_0_0.01_107.tre,0.158363
G_l_512_n_20_0_0.01_109.phy,G_l_512_n_20_0_0.01_109.tre,0.157688
G_l_512_n_20_0_0.01_114.phy,G_l_512_n_20_0_0.01_114.tre,0.156615
G_l_512_n_20_0_0.01_119.phy,G_l_512_n_20_0_0.01_119.tre,0.156870
G_l_512_n_20_0_0.01_12.phy,G_l_512_n_20_0_0.01_12.tre,0.156738
G_l_512_n_20_0_0.01_121.phy,G_l_512_n_20_0_0.01_121.tre,0.158253
G_l_512_n_20_0_0.01_123.phy,G_l_512_n_20_0_0.01_123.tre,0.157131
G_l_512_n_20_0_0.01_124.phy,G_l_512_n_20_0_0.01_124.tre,0.158582
G_l_512_n_20_0_0.01_125.phy,G_l_512_n_20_0_0.01_125.tre,0.161032
G_l_512_n_20_0_0.01_19.phy,G_l_512_n_20_0_0.01_19.tre,0.157128
G_l_512_n_20_0_0.01_28.phy,G_l_512_n_20_0_0.01_28.tre,0.160821
G_l_512_n_20_0_0.01_29.phy,G_l_512_n_20_0_0.01_29.tre,0.157821
G_l_512_n_20_0_0.01_30.phy,G_l_512_n_20_0_0.01_30.tre,0.159178
G_l_512_n_20_0_0.01_32.phy,G_l_512_n_20_0_0.01_32.tre,0.157095
G_l_512_n_20_0_0.01_36.phy,G_l_512_n_20_0_0.01_36.tre,0.161166
G_l_512_n_20_0_0.01_38.phy,G_l_512_n_20_0_0.01_38.tre,0.161139
G_l_512_n_20_0_0.01_39.phy,G_l_512_n_20_0_0.01_39.tre,0.156852
G_l_512_n_20_0_0.01_40.phy,G_l_512_n_20_0_0.01_40.tre,0.161524
G_l_512_n_20_0_0.01_43.phy,G_l_512_n_20_0_0.01_43.tre,0.160451
G_l_512_n_20_0_0.01_5.phy,G_l_512_n_20_0_0.01_5.tre,0.157693
G_l_512_n_20_0_0.01_52.phy,G_l_512_n_20_0_0.01_52.tre,0.159412
G_l_512_n_20_0_0.01_58.phy,G_l_512_n_20_0_0.01_58.tre,0.158864
G_l_512_n_20_0_0.01_65.phy,G_l_512_n_20_0_0.01_65.tre,0.159921
G_l_512_n_20_0_0.01_68.phy,G_l_512_n_20_0_0.01_68.tre,0.161026
G_l_512_n_20_0_0.01_69.phy,G_l_512_n_20_0_0.01_69.tre,0.159886
G_l_512_n_20_0_0.01_7.phy,G_l_512_n_20_0_0.01_7.tre,0.340869
G_l_512_n_20_0_0.01_86.phy,G_l_512_n_20_0_0.01_86.tre,0.161132
G_l_512_n_20_0_0.01_87.phy,G_l_512_n_20_0_0.01_87.tre,0.158550
G_l_512_n_20_0_0.01_92.phy,G_l_512_n_20_0_0.01_92.tre,0.157475
G_l_512_n_20_0_0.01_93.phy,G_l_512_n_20_0_0.01_93.tre,0.159218
G_l_512_n_20_0_0.02_1.phy,G_l_512_n_20_0_0.02_1.tre,0.157151
G_l_512_n_20_0_0.02_110.phy,G_l_512_n_20_0_0.02_110.tre,0.161676
G_l_512_n_20_0_0.02_112.phy,G_l_512_n_20_0_0.02_112.tre,0.157311
G_l_512_n_20_0_0.02_13.phy,G_l_512_n_20_0_0.02_13.tre,0.160708
G_l_512_n_20_0_0.02_15.phy,G_l_512_n_20_0_0.02_15.tre,0.157880
G_l_512_n_20_0_0.02_2.phy,G_l_512_n_20_0_0.02_2.tre,0.159135
G_l_512_n_20_0_0.02_20.phy,G_l_512_n_20_0_0.02_20.tre,0.157570
G_l_512_n_20_0_0.02_22.phy,G_l_512_n_20_0_0.02_22.tre,0.157351
G_l_512_n_20_0_0.02_25.phy,G_l_512_n_20_0_0.02_25.tre,0.156765
G_l_512_n_20_0_0.02_31.phy,G_l_512_n_20_0_0.02_31.tre,0.158634
G_l_512_n_20_0_0.02_46.phy,G_l_512_n_20_0_0.02_46.tre,0.157999
G_l_512_n_20_0_0.02_48.phy,G_l_512_n_20_0_0.02_48.tre,0.156502
G_l_512_n_20_0_0.02_50.phy,G_l_512_n_20_0_0.02_50.tre,0.157585
G_l_512_n_20_0_0.02_59.phy,G_l_512_n_20_0_0.02_59.tre,0.157114
G_l_512_n_20_0_0.02_6.phy,G_l_512_n_20_0_0.02_6.tre,0.157287
G_l_512_n_20_0_0.02_66.phy,G_l_512_n_20_0_0.02_66.tre,0.160543
G_l_512_n_20_0_0.02_70.phy,G_l_512_n_20_0_0.02_70.tre,0.159217
G_l_512_n_20_0_0.02_74.phy,G_l_512_n_20_0_0.02_74.tre,0.158775
G_l_512_n_20_0_0.02_77.phy,G_l_512_n_20_0_0.02_77.tre,0.158262
