instance,tree_file,inference_time_seconds
exon_10164.fasta,exon_10164.tre,128.646302
exon_10165.fasta,exon_10165.tre,100.240519
exon_10167.fasta,exon_10167.tre,86.935616
exon_10168.fasta,exon_10168.tre,92.436979
exon_10169.fasta,exon_10169.tre,92.449533
exon_10174.fasta,exon_10174.tre,135.162948
exon_10175.fasta,exon_10175.tre,98.022499
exon_10176.fasta,exon_10176.tre,92.989989
exon_10178.fasta,exon_10178.tre,90.301499
exon_10180.fasta,exon_10180.tre,66.629047
exon_10181.fasta,exon_10181.tre,97.537121
exon_10182.fasta,exon_10182.tre,88.271809
exon_10183.fasta,exon_10183.tre,120.022274
exon_10184.fasta,exon_10184.tre,85.368577
exon_10185.fasta,exon_10185.tre,72.618152
exon_10186.fasta,exon_10186.tre,86.854539
exon_10187.fasta,exon_10187.tre,69.288550
exon_10188.fasta,exon_10188.tre,102.377944
exon_10190.fasta,exon_10190.tre,97.886970
exon_10191.fasta,exon_10191.tre,92.014180
exon_10192.fasta,exon_10192.tre,93.669673
exon_10193.fasta,exon_10193.tre,172.850153
exon_10195.fasta,exon_10195.tre,73.262347
exon_10196.fasta,exon_10196.tre,84.080494
exon_10197.fasta,exon_10197.tre,87.206671
exon_10198.fasta,exon_10198.tre,86.029311
exon_10199.fasta,exon_10199.tre,95.990236
exon_102.fasta,exon_102.tre,86.094786
exon_1020.fasta,exon_1020.tre,103.355193
exon_10200.fasta,exon_10200.tre,96.256528
exon_10203.fasta,exon_10203.tre,145.309533
exon_10205.fasta,exon_10205.tre,92.593929
exon_10206.fasta,exon_10206.tre,78.402840
exon_10207.fasta,exon_10207.tre,102.130480
exon_10208.fasta,exon_10208.tre,89.785673
exon_1021.fasta,exon_1021.tre,80.400294
exon_10210.fasta,exon_10210.tre,96.391175
exon_10211.fasta,exon_10211.tre,102.245763
exon_10212.fasta,exon_10212.tre,125.340975
exon_10214.fasta,exon_10214.tre,93.019701
exon_10215.fasta,exon_10215.tre,83.149892
exon_10216.fasta,exon_10216.tre,88.978277
exon_10217.fasta,exon_10217.tre,92.508602
exon_10218.fasta,exon_10218.tre,129.117225
exon_10219.fasta,exon_10219.tre,85.513857
exon_1022.fasta,exon_1022.tre,90.536384
exon_10221.fasta,exon_10221.tre,99.245837
exon_10222.fasta,exon_10222.tre,93.186867
exon_10223.fasta,exon_10223.tre,101.650378
exon_10224.fasta,exon_10224.tre,83.583851
exon_10225.fasta,exon_10225.tre,76.507638
exon_10226.fasta,exon_10226.tre,88.532322
exon_10227.fasta,exon_10227.tre,148.109751
exon_10228.fasta,exon_10228.tre,120.113203
exon_10229.fasta,exon_10229.tre,90.436942
exon_10230.fasta,exon_10230.tre,76.542510
exon_10231.fasta,exon_10231.tre,104.346405
exon_10232.fasta,exon_10232.tre,93.472479
exon_10234.fasta,exon_10234.tre,173.675667
exon_10235.fasta,exon_10235.tre,86.304252
exon_10236.fasta,exon_10236.tre,83.104821
