dataset	gene	tree_file	rf	nrf
SongD1	gene20	gene20.treefile	24.0	0.35294117647058826
SongD1	gene201	gene201.treefile	12.0	0.17647058823529413
SongD1	gene202	gene202.treefile	14.0	0.20588235294117646
SongD1	gene203	gene203.treefile	38.0	0.5588235294117647
SongD1	gene204	gene204.treefile	24.0	0.35294117647058826
SongD1	gene205	gene205.treefile	16.0	0.23529411764705882
SongD1	gene206	gene206.treefile	10.0	0.14705882352941177
SongD1	gene207	gene207.treefile	14.0	0.20588235294117646
SongD1	gene208	gene208.treefile	32.0	0.47058823529411764
SongD1	gene21	gene21.treefile	20.0	0.29411764705882354
SongD1	gene210	gene210.treefile	14.0	0.20588235294117646
SongD1	gene211	gene211.treefile	20.0	0.29411764705882354
SongD1	gene212	gene212.treefile	12.0	0.17647058823529413
SongD1	gene213	gene213.treefile	12.0	0.17647058823529413
SongD1	gene214	gene214.treefile	8.0	0.11764705882352941
SongD1	gene215	gene215.treefile	16.0	0.23529411764705882
SongD1	gene216	gene216.treefile	30.0	0.4411764705882353
SongD1	gene217	gene217.treefile	14.0	0.20588235294117646
SongD1	gene218	gene218.treefile	12.0	0.17647058823529413
SongD1	gene219	gene219.treefile	34.0	0.5
SongD1	gene22	gene22.treefile	20.0	0.29411764705882354
SongD1	gene220	gene220.treefile	26.0	0.38235294117647056
SongD1	gene221	gene221.treefile	18.0	0.2647058823529412
SongD1	gene222	gene222.treefile	14.0	0.20588235294117646
SongD1	gene223	gene223.treefile	12.0	0.17647058823529413
SongD1	gene224	gene224.treefile	16.0	0.23529411764705882
SongD1	gene225	gene225.treefile	16.0	0.23529411764705882
SongD1	gene226	gene226.treefile	10.0	0.14705882352941177
SongD1	gene227	gene227.treefile	20.0	0.29411764705882354
SongD1	gene228	gene228.treefile	12.0	0.17647058823529413
SongD1	gene229	gene229.treefile	18.0	0.2647058823529412
SongD1	gene23	gene23.treefile	20.0	0.29411764705882354
SongD1	gene230	gene230.treefile	12.0	0.17647058823529413
SongD1	gene231	gene231.treefile	32.0	0.47058823529411764
SongD1	gene233	gene233.treefile	6.0	0.08823529411764706
SongD1	gene234	gene234.treefile	14.0	0.20588235294117646
SongD1	gene235	gene235.treefile	30.0	0.4411764705882353
SongD1	gene236	gene236.treefile	4.0	0.058823529411764705
SongD1	gene237	gene237.treefile	10.0	0.14705882352941177
