dataset	gene	tree_file	rf	nrf
WickD3b	5503	RAxML_bestTree.5503	40.0	0.39215686274509803
WickD3b	5507	RAxML_bestTree.5507	34.0	0.4358974358974359
WickD3b	5508	RAxML_bestTree.5508	46.0	0.39655172413793105
WickD3b	5514	RAxML_bestTree.5514	30.0	0.2727272727272727
WickD3b	5516	RAxML_bestTree.5516	38.0	0.34545454545454546
WickD3b	5521	RAxML_bestTree.5521	10.0	0.20833333333333334
WickD3b	5524	RAxML_bestTree.5524	56.0	0.49122807017543857
WickD3b	5528	RAxML_bestTree.5528	76.0	0.5135135135135135
WickD3b	5536	RAxML_bestTree.5536	70.0	0.49295774647887325
WickD3b	5551	RAxML_bestTree.5551	12.0	0.23076923076923078
WickD3b	5558	RAxML_bestTree.5558	84.0	0.5060240963855421
WickD3b	5559	RAxML_bestTree.5559	54.0	0.4153846153846154
WickD3b	5563	RAxML_bestTree.5563	12.0	0.4
WickD3b	5571	RAxML_bestTree.5571	82.0	0.6119402985074627
WickD3b	5573	RAxML_bestTree.5573	86.0	0.6615384615384615
WickD3b	5578	RAxML_bestTree.5578	50.0	0.7142857142857143
WickD3b	5579	RAxML_bestTree.5579	76.0	0.6440677966101694
WickD3b	5582	RAxML_bestTree.5582	12.0	0.16666666666666666
WickD3b	5588	RAxML_bestTree.5588	28.0	0.4117647058823529
WickD3b	5600	RAxML_bestTree.5600	126.0	0.75
WickD3b	5601	RAxML_bestTree.5601	20.0	0.29411764705882354
WickD3b	5604	RAxML_bestTree.5604	48.0	0.34782608695652173
WickD3b	5607	RAxML_bestTree.5607	60.0	0.42857142857142855
WickD3b	5613	RAxML_bestTree.5613	86.0	0.6231884057971014
WickD3b	5621	RAxML_bestTree.5621	58.0	0.4603174603174603
WickD3b	5628	RAxML_bestTree.5628	56.0	0.37333333333333335
WickD3b	5631	RAxML_bestTree.5631	16.0	0.27586206896551724
WickD3b	5644	RAxML_bestTree.5644	66.0	0.75
WickD3b	5648	RAxML_bestTree.5648	12.0	0.14634146341463414
WickD3b	5656	RAxML_bestTree.5656	54.0	0.4153846153846154
WickD3b	5672	RAxML_bestTree.5672	18.0	0.6428571428571429
WickD3b	5675	RAxML_bestTree.5675	46.0	0.5348837209302325
WickD3b	5676	RAxML_bestTree.5676	26.0	0.37142857142857144
WickD3b	5679	RAxML_bestTree.5679	12.0	0.13636363636363635
WickD3b	5681	RAxML_bestTree.5681	72.0	0.4931506849315068
WickD3b	5683	RAxML_bestTree.5683	24.0	0.631578947368421
WickD3b	5684	RAxML_bestTree.5684	68.0	0.4657534246575342
WickD3b	5686	RAxML_bestTree.5686	34.0	0.2833333333333333
WickD3b	5696	RAxML_bestTree.5696	60.0	0.5769230769230769
WickD3b	5706	RAxML_bestTree.5706	10.0	0.21739130434782608
WickD3b	5715	RAxML_bestTree.5715	90.0	0.569620253164557
WickD3b	5719	RAxML_bestTree.5719	44.0	0.4489795918367347
WickD3b	5721	RAxML_bestTree.5721	8.0	0.5
WickD3b	5722	RAxML_bestTree.5722	26.0	0.7222222222222222
WickD3b	5729	RAxML_bestTree.5729	102.0	0.75
WickD3b	5737	RAxML_bestTree.5737	92.0	0.5348837209302325
WickD3b	5749	RAxML_bestTree.5749	36.0	0.3829787234042553
WickD3b	5750	RAxML_bestTree.5750	20.0	0.2127659574468085
WickD3b	5752	RAxML_bestTree.5752	16.0	0.21621621621621623
WickD3b	5753	RAxML_bestTree.5753	60.0	0.4411764705882353
WickD3b	5755	RAxML_bestTree.5755	16.0	0.3076923076923077
WickD3b	5758	RAxML_bestTree.5758	54.0	0.42857142857142855
WickD3b	5763	RAxML_bestTree.5763	6.0	0.13043478260869565
WickD3b	5766	RAxML_bestTree.5766	60.0	0.75
WickD3b	5769	RAxML_bestTree.5769	52.0	0.7878787878787878
WickD3b	5785	RAxML_bestTree.5785	54.0	0.4576271186440678
WickD3b	5786	RAxML_bestTree.5786	80.0	0.5797101449275363
WickD3b	5791	RAxML_bestTree.5791	22.0	0.5238095238095238
WickD3b	5801	RAxML_bestTree.5801	22.0	0.2972972972972973
WickD3b	5808	RAxML_bestTree.5808	50.0	0.36764705882352944
WickD3b	5816	RAxML_bestTree.5816	86.0	0.5058823529411764
WickD3b	5817	RAxML_bestTree.5817	80.0	0.5333333333333333
WickD3b	5821	RAxML_bestTree.5821	2.0	0.3333333333333333
WickD3b	5823	RAxML_bestTree.5823	54.0	0.54
WickD3b	5824	RAxML_bestTree.5824	78.0	0.5342465753424658
WickD3b	5830	RAxML_bestTree.5830	86.0	0.5584415584415584
WickD3b	5832	RAxML_bestTree.5832	26.0	0.38235294117647056
WickD3b	5834	RAxML_bestTree.5834	18.0	0.5
WickD3b	5836	RAxML_bestTree.5836	24.0	0.4
