dataset	gene	tree_file	rf	nrf
WickD3b	5600	5600.treefile	126.0	0.75
WickD3b	5601	5601.treefile	20.0	0.29411764705882354
WickD3b	5604	5604.treefile	54.0	0.391304347826087
WickD3b	5607	5607.treefile	50.0	0.35714285714285715
WickD3b	5613	5613.treefile	84.0	0.6086956521739131
WickD3b	5621	5621.treefile	58.0	0.4603174603174603
WickD3b	5628	5628.treefile	54.0	0.36
WickD3b	5631	5631.treefile	16.0	0.27586206896551724
WickD3b	5644	5644.treefile	66.0	0.75
WickD3b	5648	5648.treefile	12.0	0.14634146341463414
WickD3b	5656	5656.treefile	58.0	0.4461538461538462
WickD3b	5672	5672.treefile	18.0	0.6428571428571429
WickD3b	5675	5675.treefile	44.0	0.5116279069767442
WickD3b	5676	5676.treefile	26.0	0.37142857142857144
WickD3b	5679	5679.treefile	12.0	0.13636363636363635
WickD3b	5681	5681.treefile	66.0	0.4520547945205479
WickD3b	5683	5683.treefile	24.0	0.631578947368421
WickD3b	5684	5684.treefile	64.0	0.4383561643835616
WickD3b	5686	5686.treefile	34.0	0.2833333333333333
WickD3b	5696	5696.treefile	60.0	0.5769230769230769
WickD3b	5706	5706.treefile	10.0	0.21739130434782608
WickD3b	5715	5715.treefile	90.0	0.569620253164557
WickD3b	5719	5719.treefile	36.0	0.3673469387755102
WickD3b	5721	5721.treefile	8.0	0.5
WickD3b	5722	5722.treefile	24.0	0.6666666666666666
WickD3b	5729	5729.treefile	102.0	0.75
WickD3b	5737	5737.treefile	96.0	0.5581395348837209
WickD3b	5749	5749.treefile	36.0	0.3829787234042553
WickD3b	5750	5750.treefile	20.0	0.2127659574468085
WickD3b	5752	5752.treefile	18.0	0.24324324324324326
WickD3b	5753	5753.treefile	58.0	0.4264705882352941
WickD3b	5755	5755.treefile	16.0	0.3076923076923077
WickD3b	5758	5758.treefile	56.0	0.4444444444444444
WickD3b	5763	5763.treefile	6.0	0.13043478260869565
WickD3b	5766	5766.treefile	60.0	0.75
WickD3b	5769	5769.treefile	52.0	0.7878787878787878
WickD3b	5785	5785.treefile	54.0	0.4576271186440678
WickD3b	5786	5786.treefile	70.0	0.5072463768115942
WickD3b	5791	5791.treefile	22.0	0.5238095238095238
WickD3b	5801	5801.treefile	22.0	0.2972972972972973
WickD3b	5808	5808.treefile	50.0	0.36764705882352944
WickD3b	5816	5816.treefile	80.0	0.47058823529411764
WickD3b	5817	5817.treefile	70.0	0.4666666666666667
WickD3b	5821	5821.treefile	2.0	0.3333333333333333
WickD3b	5823	5823.treefile	54.0	0.54
WickD3b	5824	5824.treefile	76.0	0.5205479452054794
WickD3b	5830	5830.treefile	86.0	0.5584415584415584
WickD3b	5832	5832.treefile	24.0	0.35294117647058826
WickD3b	5834	5834.treefile	18.0	0.5
WickD3b	5836	5836.treefile	24.0	0.4
WickD3b	5839	5839.treefile	88.0	0.6197183098591549
WickD3b	5843	5843.treefile	18.0	0.9
WickD3b	5847	5847.treefile	80.0	0.5555555555555556
WickD3b	5853	5853.treefile	36.0	0.375
WickD3b	5858	5858.treefile	68.0	0.4594594594594595
WickD3b	5862	5862.treefile	54.0	0.421875
WickD3b	5863	5863.treefile	38.0	0.3584905660377358
WickD3b	5870	5870.treefile	48.0	0.5
WickD3b	5875	5875.treefile	32.0	0.4444444444444444
WickD3b	5879	5879.treefile	42.0	0.5
WickD3b	5881	5881.treefile	44.0	0.4489795918367347
WickD3b	5891	5891.treefile	40.0	0.5405405405405406
WickD3b	5894	5894.treefile	24.0	0.23529411764705882
WickD3b	5896	5896.treefile	24.0	0.3157894736842105
WickD3b	5903	5903.treefile	20.0	0.2564102564102564
WickD3b	5905	5905.treefile	60.0	0.410958904109589
WickD3b	5911	5911.treefile	52.0	0.6341463414634146
WickD3b	5915	5915.treefile	68.0	0.4927536231884058
WickD3b	5918	5918.treefile	50.0	0.3968253968253968
WickD3b	5919	5919.treefile	48.0	0.5
WickD3b	5921	5921.treefile	58.0	0.5
WickD3b	5925	5925.treefile	34.0	0.2786885245901639
WickD3b	5928	5928.treefile	60.0	0.410958904109589
WickD3b	5929	5929.treefile	60.0	0.4838709677419355
WickD3b	5934	5934.treefile	6.0	0.15789473684210525
WickD3b	5939	5939.treefile	24.0	0.2222222222222222
WickD3b	5944	5944.treefile	54.0	0.75
WickD3b	5951	5951.treefile	4.0	0.6666666666666666
WickD3b	5954	5954.treefile	56.0	0.5490196078431373
WickD3b	5955	5955.treefile	46.0	0.5609756097560976
WickD3b	5957	5957.treefile	52.0	0.3880597014925373
WickD3b	5959	5959.treefile	70.0	0.5072463768115942
WickD3b	5964	5964.treefile	88.0	0.676923076923077
WickD3b	5967	5967.treefile	20.0	0.19230769230769232
WickD3b	5979	5979.treefile	64.0	0.5161290322580645
WickD3b	5986	5986.treefile	12.0	0.3
WickD3b	5991	5991.treefile	22.0	0.6470588235294118
WickD3b	5993	5993.treefile	32.0	0.38095238095238093
WickD3b	6000	6000.treefile	82.0	0.5324675324675324
WickD3b	6001	6001.treefile	92.0	0.5974025974025974
WickD3b	6002	6002.treefile	64.0	0.6037735849056604
WickD3b	6010	6010.treefile	48.0	0.5714285714285714
WickD3b	6012	6012.treefile	70.0	0.6730769230769231
WickD3b	6016	6016.treefile	36.0	0.6428571428571429
WickD3b	6022	6022.treefile	30.0	0.28846153846153844
WickD3b	6025	6025.treefile	64.0	0.43243243243243246
WickD3b	6026	6026.treefile	24.0	0.2727272727272727
WickD3b	6031	6031.treefile	74.0	0.5873015873015873
WickD3b	6032	6032.treefile	10.0	0.4166666666666667
WickD3b	6033	6033.treefile	92.0	0.5111111111111111
WickD3b	6036	6036.treefile	4.0	0.18181818181818182
WickD3b	6039	6039.treefile	22.0	0.36666666666666664
WickD3b	6040	6040.treefile	38.0	0.35185185185185186
WickD3b	6043	6043.treefile	66.0	0.5689655172413793
WickD3b	6045	6045.treefile	26.0	0.65
WickD3b	6051	6051.treefile	50.0	0.4807692307692308
WickD3b	6053	6053.treefile	50.0	0.3968253968253968
WickD3b	6066	6066.treefile	34.0	0.2698412698412698
WickD3b	6069	6069.treefile	54.0	0.46551724137931033
WickD3b	6075	6075.treefile	86.0	0.6515151515151515
WickD3b	6076	6076.treefile	26.0	0.38235294117647056
WickD3b	6077	6077.treefile	60.0	0.46153846153846156
WickD3b	6086	6086.treefile	28.0	0.6666666666666666
WickD3b	6092	6092.treefile	2.0	0.1
WickD3b	6094	6094.treefile	36.0	0.4
WickD3b	6107	6107.treefile	42.0	0.42
WickD3b	6120	6120.treefile	94.0	0.6714285714285714
WickD3b	6121	6121.treefile	56.0	0.5384615384615384
WickD3b	6123	6123.treefile	8.0	0.3333333333333333
WickD3b	6128	6128.treefile	20.0	0.3225806451612903
WickD3b	6130	6130.treefile	48.0	0.5714285714285714
WickD3b	6131	6131.treefile	12.0	0.24
WickD3b	6134	6134.treefile	62.0	0.5636363636363636
WickD3b	6140	6140.treefile	60.0	0.38961038961038963
WickD3b	6145	6145.treefile	26.0	0.3170731707317073
