instance,tree_file,inference_time_seconds
ENSG00000005471.nuc.ord.aln,ENSG00000005471.nuc.ord.tre,1.334562
ENSG00000005483.nuc.ord.aln,ENSG00000005483.nuc.ord.tre,2.442904
ENSG00000005486.nuc.ord.aln,ENSG00000005486.nuc.ord.tre,0.551362
ENSG00000005700.nuc.ord.aln,ENSG00000005700.nuc.ord.tre,1.692389
ENSG00000005810.nuc.ord.aln,ENSG00000005810.nuc.ord.tre,11.587326
ENSG00000005812.nuc.ord.aln,ENSG00000005812.nuc.ord.tre,0.443728
ENSG00000005844.nuc.ord.aln,ENSG00000005844.nuc.ord.tre,1.440983
ENSG00000005882.nuc.ord.aln,ENSG00000005882.nuc.ord.tre,0.402786
ENSG00000005884.nuc.ord.aln,ENSG00000005884.nuc.ord.tre,1.315601
ENSG00000005893.nuc.ord.aln,ENSG00000005893.nuc.ord.tre,0.438799
ENSG00000005955.nuc.ord.aln,ENSG00000005955.nuc.ord.tre,0.672573
ENSG00000005961.nuc.ord.aln,ENSG00000005961.nuc.ord.tre,0.927251
ENSG00000005981.nuc.ord.aln,ENSG00000005981.nuc.ord.tre,0.387573
ENSG00000006007.nuc.ord.aln,ENSG00000006007.nuc.ord.tre,0.528694
ENSG00000006025.nuc.ord.aln,ENSG00000006025.nuc.ord.tre,1.192225
ENSG00000006042.nuc.ord.aln,ENSG00000006042.nuc.ord.tre,0.336493
ENSG00000006047.nuc.ord.aln,ENSG00000006047.nuc.ord.tre,0.387484
ENSG00000006062.nuc.ord.aln,ENSG00000006062.nuc.ord.tre,1.063370
ENSG00000006071.nuc.ord.aln,ENSG00000006071.nuc.ord.tre,2.194495
ENSG00000006114.nuc.ord.aln,ENSG00000006114.nuc.ord.tre,1.903112
ENSG00000006116.nuc.ord.aln,ENSG00000006116.nuc.ord.tre,0.312599
ENSG00000006118.nuc.ord.aln,ENSG00000006118.nuc.ord.tre,0.994766
ENSG00000006125.nuc.ord.aln,ENSG00000006125.nuc.ord.tre,1.023896
ENSG00000006128.nuc.ord.aln,ENSG00000006128.nuc.ord.tre,0.262106
ENSG00000006194.nuc.ord.aln,ENSG00000006194.nuc.ord.tre,0.654145
ENSG00000006210.nuc.ord.aln,ENSG00000006210.nuc.ord.tre,0.421048
ENSG00000006377.nuc.ord.aln,ENSG00000006377.nuc.ord.tre,0.361166
ENSG00000006432.nuc.ord.aln,ENSG00000006432.nuc.ord.tre,1.044807
ENSG00000006451.nuc.ord.aln,ENSG00000006451.nuc.ord.tre,0.309477
ENSG00000006453.nuc.ord.aln,ENSG00000006453.nuc.ord.tre,0.438469
ENSG00000006459.nuc.ord.aln,ENSG00000006459.nuc.ord.tre,0.923840
ENSG00000006468.nuc.ord.aln,ENSG00000006468.nuc.ord.tre,0.481331
ENSG00000006530.nuc.ord.aln,ENSG00000006530.nuc.ord.tre,0.567163
ENSG00000006555.nuc.ord.aln,ENSG00000006555.nuc.ord.tre,0.405769
ENSG00000006576.nuc.ord.aln,ENSG00000006576.nuc.ord.tre,0.737434
ENSG00000006611.nuc.ord.aln,ENSG00000006611.nuc.ord.tre,0.861751
ENSG00000006625.nuc.ord.aln,ENSG00000006625.nuc.ord.tre,0.307949
ENSG00000006634.nuc.ord.aln,ENSG00000006634.nuc.ord.tre,0.563771
ENSG00000006638.nuc.ord.aln,ENSG00000006638.nuc.ord.tre,0.305300
ENSG00000006652.nuc.ord.aln,ENSG00000006652.nuc.ord.tre,0.410510
ENSG00000006695.nuc.ord.aln,ENSG00000006695.nuc.ord.tre,0.424513
ENSG00000006704.nuc.ord.aln,ENSG00000006704.nuc.ord.tre,1.410470
ENSG00000006712.nuc.ord.aln,ENSG00000006712.nuc.ord.tre,0.445272
ENSG00000006715.nuc.ord.aln,ENSG00000006715.nuc.ord.tre,0.922077
ENSG00000006740.nuc.ord.aln,ENSG00000006740.nuc.ord.tre,0.866838
ENSG00000006744.nuc.ord.aln,ENSG00000006744.nuc.ord.tre,0.815955
ENSG00000006747.nuc.ord.aln,ENSG00000006747.nuc.ord.tre,0.969542
ENSG00000006788.nuc.ord.aln,ENSG00000006788.nuc.ord.tre,1.768246
ENSG00000006837.nuc.ord.aln,ENSG00000006837.nuc.ord.tre,0.430998
ENSG00000007001.nuc.ord.aln,ENSG00000007001.nuc.ord.tre,0.340738
ENSG00000007038.nuc.ord.aln,ENSG00000007038.nuc.ord.tre,0.286768
ENSG00000007062.nuc.ord.aln,ENSG00000007062.nuc.ord.tre,0.787837
ENSG00000007168.nuc.ord.aln,ENSG00000007168.nuc.ord.tre,0.415938
ENSG00000007174.nuc.ord.aln,ENSG00000007174.nuc.ord.tre,10.886428
ENSG00000007202.nuc.ord.aln,ENSG00000007202.nuc.ord.tre,3.791479
ENSG00000007237.nuc.ord.aln,ENSG00000007237.nuc.ord.tre,0.445944
