instance,tree_file,inference_time_seconds
G_l_256_n_100_0_0.01_101.phy,G_l_256_n_100_0_0.01_101.tre,2.196879
G_l_256_n_100_0_0.01_108.phy,G_l_256_n_100_0_0.01_108.tre,0.868624
G_l_256_n_100_0_0.01_116.phy,G_l_256_n_100_0_0.01_116.tre,0.865669
G_l_256_n_100_0_0.01_12.phy,G_l_256_n_100_0_0.01_12.tre,0.869459
G_l_256_n_100_0_0.01_126.phy,G_l_256_n_100_0_0.01_126.tre,0.876707
G_l_256_n_100_0_0.01_21.phy,G_l_256_n_100_0_0.01_21.tre,1.055215
G_l_256_n_100_0_0.01_23.phy,G_l_256_n_100_0_0.01_23.tre,0.861894
G_l_256_n_100_0_0.01_25.phy,G_l_256_n_100_0_0.01_25.tre,0.867553
G_l_256_n_100_0_0.01_28.phy,G_l_256_n_100_0_0.01_28.tre,0.863656
G_l_256_n_100_0_0.01_31.phy,G_l_256_n_100_0_0.01_31.tre,0.874820
G_l_256_n_100_0_0.01_32.phy,G_l_256_n_100_0_0.01_32.tre,1.010877
G_l_256_n_100_0_0.01_36.phy,G_l_256_n_100_0_0.01_36.tre,0.859938
G_l_256_n_100_0_0.01_38.phy,G_l_256_n_100_0_0.01_38.tre,0.871857
G_l_256_n_100_0_0.01_39.phy,G_l_256_n_100_0_0.01_39.tre,0.870255
G_l_256_n_100_0_0.01_42.phy,G_l_256_n_100_0_0.01_42.tre,0.860267
G_l_256_n_100_0_0.01_46.phy,G_l_256_n_100_0_0.01_46.tre,1.028757
G_l_256_n_100_0_0.01_51.phy,G_l_256_n_100_0_0.01_51.tre,0.863903
G_l_256_n_100_0_0.01_54.phy,G_l_256_n_100_0_0.01_54.tre,0.858375
G_l_256_n_100_0_0.01_55.phy,G_l_256_n_100_0_0.01_55.tre,0.858458
G_l_256_n_100_0_0.01_60.phy,G_l_256_n_100_0_0.01_60.tre,0.874421
G_l_256_n_100_0_0.01_64.phy,G_l_256_n_100_0_0.01_64.tre,1.059922
G_l_256_n_100_0_0.01_72.phy,G_l_256_n_100_0_0.01_72.tre,0.879067
G_l_256_n_100_0_0.01_73.phy,G_l_256_n_100_0_0.01_73.tre,0.877527
